year,city,country,avg_temp
1842,New York,United States,9.41
1843,New York,United States,8.49
1844,New York,United States,9.12
1845,New York,United States,9.49
1846,New York,United States,9.66
1847,New York,United States,9.30
1848,New York,United States,9.54
1849,New York,United States,8.83
1850,New York,United States,9.10
1851,New York,United States,9.26
1852,New York,United States,8.98
1853,New York,United States,9.68
1854,New York,United States,9.56
1855,New York,United States,9.11
1856,New York,United States,8.20
1857,New York,United States,8.52
1858,New York,United States,9.13
1859,New York,United States,9.17
1860,New York,United States,9.18
1861,New York,United States,9.47
1862,New York,United States,9.00
1863,New York,United States,9.09
1864,New York,United States,9.29
1865,New York,United States,9.64
1866,New York,United States,8.95
1867,New York,United States,8.59
1868,New York,United States,7.95
1869,New York,United States,8.85
1870,New York,United States,10.04
1871,New York,United States,8.94
1872,New York,United States,8.61
1873,New York,United States,8.44
1874,New York,United States,9.06
1875,New York,United States,7.74
1876,New York,United States,9.35
1877,New York,United States,10.15
1878,New York,United States,10.38
1879,New York,United States,9.37
1880,New York,United States,9.99
1881,New York,United States,9.77
1882,New York,United States,9.22
1883,New York,United States,8.59
1884,New York,United States,9.36
1885,New York,United States,8.37
1886,New York,United States,8.90
1887,New York,United States,9.10
1888,New York,United States,8.31
1889,New York,United States,9.86
1890,New York,United States,9.62
1891,New York,United States,10.00
1892,New York,United States,9.15
1893,New York,United States,8.68
1894,New York,United States,9.95
1895,New York,United States,9.22
1896,New York,United States,9.51
1897,New York,United States,9.63
1898,New York,United States,10.24
1899,New York,United States,9.51
1900,New York,United States,10.40
1901,New York,United States,9.29
1902,New York,United States,9.43
1903,New York,United States,9.32
1904,New York,United States,7.87
1905,New York,United States,9.10
1906,New York,United States,9.90
1907,New York,United States,8.49
1908,New York,United States,9.87
1909,New York,United States,9.51
1910,New York,United States,9.55
1911,New York,United States,9.91
1912,New York,United States,9.24
1913,New York,United States,10.76
1914,New York,United States,9.02
1915,New York,United States,9.85
1916,New York,United States,9.10
1917,New York,United States,8.24
1918,New York,United States,9.51
1919,New York,United States,10.05
1920,New York,United States,9.19
1921,New York,United States,10.91
1922,New York,United States,10.04
1923,New York,United States,9.51
1924,New York,United States,8.85
1925,New York,United States,9.72
1926,New York,United States,8.54
1927,New York,United States,9.70
1928,New York,United States,9.82
1929,New York,United States,9.97
1930,New York,United States,10.22
1931,New York,United States,11.03
1932,New York,United States,10.44
1933,New York,United States,10.18
1934,New York,United States,9.48
1935,New York,United States,9.48
1936,New York,United States,9.73
1937,New York,United States,10.16
1938,New York,United States,10.42
1939,New York,United States,10.07
1940,New York,United States,8.53
1941,New York,United States,10.19
1942,New York,United States,9.96
1943,New York,United States,9.58
1944,New York,United States,10.01
1945,New York,United States,9.94
1946,New York,United States,10.63
1947,New York,United States,9.91
1948,New York,United States,9.83
1949,New York,United States,11.39
1950,New York,United States,9.72
1951,New York,United States,10.27
1952,New York,United States,10.52
1953,New York,United States,11.17
1954,New York,United States,10.31
1955,New York,United States,10.39
1956,New York,United States,9.75
1957,New York,United States,10.50
1958,New York,United States,9.16
1959,New York,United States,10.77
1960,New York,United States,9.76
1961,New York,United States,10.03
1962,New York,United States,9.32
1963,New York,United States,9.32
1964,New York,United States,9.96
1965,New York,United States,9.63
1966,New York,United States,9.75
1967,New York,United States,9.30
1968,New York,United States,9.75
1969,New York,United States,9.76
1970,New York,United States,9.77
1971,New York,United States,10.01
1972,New York,United States,9.49
1973,New York,United States,10.96
1974,New York,United States,10.08
1975,New York,United States,10.56
1976,New York,United States,9.53
1977,New York,United States,9.96
1978,New York,United States,9.17
1979,New York,United States,10.02
1980,New York,United States,9.86
1981,New York,United States,9.95
1982,New York,United States,9.78
1983,New York,United States,10.51
1984,New York,United States,10.26
1985,New York,United States,10.26
1986,New York,United States,10.15
1987,New York,United States,10.32
1988,New York,United States,9.93
1989,New York,United States,9.66
1990,New York,United States,11.32
1991,New York,United States,11.36
1992,New York,United States,9.57
1993,New York,United States,10.04
1994,New York,United States,10.00
1995,New York,United States,10.24
1996,New York,United States,9.81
1997,New York,United States,10.00
1998,New York,United States,11.82
1999,New York,United States,11.16
2000,New York,United States,9.97
2001,New York,United States,10.93
2002,New York,United States,11.25
2003,New York,United States,9.84
2004,New York,United States,10.39
2005,New York,United States,10.68
2006,New York,United States,11.52
2007,New York,United States,10.63
2008,New York,United States,10.64
2009,New York,United States,10.14
2010,New York,United States,11.36
2011,New York,United States,11.27
2012,New York,United States,11.97
2013,New York,United States,12.16
1743,Prague,Czech Republic,5.08
1744,Prague,Czech Republic,9.78
1745,Prague,Czech Republic,0.69
1746,Prague,Czech Republic,
1747,Prague,Czech Republic,
1748,Prague,Czech Republic,
1749,Prague,Czech Republic,
1750,Prague,Czech Republic,9.11
1751,Prague,Czech Republic,9.13
1752,Prague,Czech Republic,3.94
1753,Prague,Czech Republic,8.08
1754,Prague,Czech Republic,7.85
1755,Prague,Czech Republic,7.62
1756,Prague,Czech Republic,8.75
1757,Prague,Czech Republic,8.33
1758,Prague,Czech Republic,7.49
1759,Prague,Czech Republic,8.35
1760,Prague,Czech Republic,8.37
1761,Prague,Czech Republic,8.73
1762,Prague,Czech Republic,7.96
1763,Prague,Czech Republic,7.87
1764,Prague,Czech Republic,8.34
1765,Prague,Czech Republic,7.99
1766,Prague,Czech Republic,8.04
1767,Prague,Czech Republic,7.46
1768,Prague,Czech Republic,7.23
1769,Prague,Czech Republic,7.81
1770,Prague,Czech Republic,7.83
1771,Prague,Czech Republic,6.96
1772,Prague,Czech Republic,8.87
1773,Prague,Czech Republic,8.81
1774,Prague,Czech Republic,8.18
1775,Prague,Czech Republic,9.37
1776,Prague,Czech Republic,7.64
1777,Prague,Czech Republic,7.75
1778,Prague,Czech Republic,8.99
1779,Prague,Czech Republic,9.48
1780,Prague,Czech Republic,7.92
1781,Prague,Czech Republic,9.22
1782,Prague,Czech Republic,7.93
1783,Prague,Czech Republic,9.01
1784,Prague,Czech Republic,7.16
1785,Prague,Czech Republic,6.77
1786,Prague,Czech Republic,6.79
1787,Prague,Czech Republic,8.58
1788,Prague,Czech Republic,7.74
1789,Prague,Czech Republic,8.26
1790,Prague,Czech Republic,8.33
1791,Prague,Czech Republic,9.00
1792,Prague,Czech Republic,8.31
1793,Prague,Czech Republic,8.55
1794,Prague,Czech Republic,9.44
1795,Prague,Czech Republic,8.13
1796,Prague,Czech Republic,8.19
1797,Prague,Czech Republic,9.39
1798,Prague,Czech Republic,8.63
1799,Prague,Czech Republic,6.14
1800,Prague,Czech Republic,8.24
1801,Prague,Czech Republic,9.11
1802,Prague,Czech Republic,8.51
1803,Prague,Czech Republic,7.45
1804,Prague,Czech Republic,7.79
1805,Prague,Czech Republic,6.38
1806,Prague,Czech Republic,9.18
1807,Prague,Czech Republic,8.91
1808,Prague,Czech Republic,7.37
1809,Prague,Czech Republic,8.05
1810,Prague,Czech Republic,7.86
1811,Prague,Czech Republic,9.28
1812,Prague,Czech Republic,6.79
1813,Prague,Czech Republic,7.77
1814,Prague,Czech Republic,6.77
1815,Prague,Czech Republic,7.69
1816,Prague,Czech Republic,7.18
1817,Prague,Czech Republic,8.08
1818,Prague,Czech Republic,8.34
1819,Prague,Czech Republic,8.60
1820,Prague,Czech Republic,7.34
1821,Prague,Czech Republic,8.17
1822,Prague,Czech Republic,9.33
1823,Prague,Czech Republic,7.87
1824,Prague,Czech Republic,8.76
1825,Prague,Czech Republic,8.72
1826,Prague,Czech Republic,8.35
1827,Prague,Czech Republic,8.26
1828,Prague,Czech Republic,8.38
1829,Prague,Czech Republic,5.77
1830,Prague,Czech Republic,7.51
1831,Prague,Czech Republic,8.19
1832,Prague,Czech Republic,7.66
1833,Prague,Czech Republic,8.24
1834,Prague,Czech Republic,9.67
1835,Prague,Czech Republic,8.01
1836,Prague,Czech Republic,8.27
1837,Prague,Czech Republic,7.19
1838,Prague,Czech Republic,6.22
1839,Prague,Czech Republic,8.14
1840,Prague,Czech Republic,6.76
1841,Prague,Czech Republic,8.61
1842,Prague,Czech Republic,7.67
1843,Prague,Czech Republic,8.53
1844,Prague,Czech Republic,7.32
1845,Prague,Czech Republic,7.45
1846,Prague,Czech Republic,9.20
1847,Prague,Czech Republic,7.42
1848,Prague,Czech Republic,8.22
1849,Prague,Czech Republic,7.44
1850,Prague,Czech Republic,7.64
1851,Prague,Czech Republic,7.69
1852,Prague,Czech Republic,8.88
1853,Prague,Czech Republic,6.84
1854,Prague,Czech Republic,7.85
1855,Prague,Czech Republic,6.60
1856,Prague,Czech Republic,7.88
1857,Prague,Czech Republic,8.32
1858,Prague,Czech Republic,7.06
1859,Prague,Czech Republic,8.92
1860,Prague,Czech Republic,7.29
1861,Prague,Czech Republic,8.16
1862,Prague,Czech Republic,8.58
1863,Prague,Czech Republic,9.26
1864,Prague,Czech Republic,6.27
1865,Prague,Czech Republic,8.10
1866,Prague,Czech Republic,8.88
1867,Prague,Czech Republic,7.97
1868,Prague,Czech Republic,9.75
1869,Prague,Czech Republic,8.40
1870,Prague,Czech Republic,6.71
1871,Prague,Czech Republic,6.29
1872,Prague,Czech Republic,9.29
1873,Prague,Czech Republic,8.65
1874,Prague,Czech Republic,8.10
1875,Prague,Czech Republic,7.25
1876,Prague,Czech Republic,7.99
1877,Prague,Czech Republic,8.26
1878,Prague,Czech Republic,8.51
1879,Prague,Czech Republic,6.85
1880,Prague,Czech Republic,8.37
1881,Prague,Czech Republic,7.14
1882,Prague,Czech Republic,8.50
1883,Prague,Czech Republic,7.82
1884,Prague,Czech Republic,8.41
1885,Prague,Czech Republic,8.03
1886,Prague,Czech Republic,8.14
1887,Prague,Czech Republic,7.18
1888,Prague,Czech Republic,7.14
1889,Prague,Czech Republic,7.59
1890,Prague,Czech Republic,7.64
1891,Prague,Czech Republic,7.66
1892,Prague,Czech Republic,7.78
1893,Prague,Czech Republic,7.84
1894,Prague,Czech Republic,8.23
1895,Prague,Czech Republic,7.44
1896,Prague,Czech Republic,7.65
1897,Prague,Czech Republic,8.09
1898,Prague,Czech Republic,8.96
1899,Prague,Czech Republic,8.03
1900,Prague,Czech Republic,8.50
1901,Prague,Czech Republic,7.72
1902,Prague,Czech Republic,7.16
1903,Prague,Czech Republic,8.56
1904,Prague,Czech Republic,8.60
1905,Prague,Czech Republic,8.19
1906,Prague,Czech Republic,8.50
1907,Prague,Czech Republic,7.99
1908,Prague,Czech Republic,7.60
1909,Prague,Czech Republic,7.53
1910,Prague,Czech Republic,8.52
1911,Prague,Czech Republic,9.10
1912,Prague,Czech Republic,7.64
1913,Prague,Czech Republic,8.42
1914,Prague,Czech Republic,8.45
1915,Prague,Czech Republic,8.00
1916,Prague,Czech Republic,8.84
1917,Prague,Czech Republic,7.66
1918,Prague,Czech Republic,8.85
1919,Prague,Czech Republic,7.43
1920,Prague,Czech Republic,8.73
1921,Prague,Czech Republic,9.09
1922,Prague,Czech Republic,7.08
1923,Prague,Czech Republic,8.08
1924,Prague,Czech Republic,7.53
1925,Prague,Czech Republic,8.45
1926,Prague,Czech Republic,8.87
1927,Prague,Czech Republic,8.20
1928,Prague,Czech Republic,8.44
1929,Prague,Czech Republic,7.32
1930,Prague,Czech Republic,8.88
1931,Prague,Czech Republic,7.64
1932,Prague,Czech Republic,8.41
1933,Prague,Czech Republic,7.47
1934,Prague,Czech Republic,9.93
1935,Prague,Czech Republic,8.52
1936,Prague,Czech Republic,8.56
1937,Prague,Czech Republic,8.77
1938,Prague,Czech Republic,8.84
1939,Prague,Czech Republic,8.51
1940,Prague,Czech Republic,6.43
1941,Prague,Czech Republic,6.97
1942,Prague,Czech Republic,7.25
1943,Prague,Czech Republic,9.02
1944,Prague,Czech Republic,8.28
1945,Prague,Czech Republic,8.88
1946,Prague,Czech Republic,8.46
1947,Prague,Czech Republic,8.34
1948,Prague,Czech Republic,9.15
1949,Prague,Czech Republic,9.22
1950,Prague,Czech Republic,8.82
1951,Prague,Czech Republic,9.10
1952,Prague,Czech Republic,8.12
1953,Prague,Czech Republic,9.32
1954,Prague,Czech Republic,7.77
1955,Prague,Czech Republic,7.68
1956,Prague,Czech Republic,6.87
1957,Prague,Czech Republic,8.77
1958,Prague,Czech Republic,8.42
1959,Prague,Czech Republic,9.08
1960,Prague,Czech Republic,8.47
1961,Prague,Czech Republic,9.13
1962,Prague,Czech Republic,7.47
1963,Prague,Czech Republic,7.50
1964,Prague,Czech Republic,8.19
1965,Prague,Czech Republic,7.65
1966,Prague,Czech Republic,8.94
1967,Prague,Czech Republic,9.26
1968,Prague,Czech Republic,8.48
1969,Prague,Czech Republic,7.95
1970,Prague,Czech Republic,7.87
1971,Prague,Czech Republic,8.63
1972,Prague,Czech Republic,8.26
1973,Prague,Czech Republic,8.48
1974,Prague,Czech Republic,9.16
1975,Prague,Czech Republic,9.26
1976,Prague,Czech Republic,8.59
1977,Prague,Czech Republic,8.84
1978,Prague,Czech Republic,8.05
1979,Prague,Czech Republic,8.19
1980,Prague,Czech Republic,7.54
1981,Prague,Czech Republic,8.51
1982,Prague,Czech Republic,9.23
1983,Prague,Czech Republic,9.41
1984,Prague,Czech Republic,8.16
1985,Prague,Czech Republic,7.74
1986,Prague,Czech Republic,8.29
1987,Prague,Czech Republic,7.61
1988,Prague,Czech Republic,9.19
1989,Prague,Czech Republic,9.78
1990,Prague,Czech Republic,9.76
1991,Prague,Czech Republic,8.45
1992,Prague,Czech Republic,9.72
1993,Prague,Czech Republic,8.76
1994,Prague,Czech Republic,9.97
1995,Prague,Czech Republic,9.02
1996,Prague,Czech Republic,7.28
1997,Prague,Czech Republic,8.82
1998,Prague,Czech Republic,9.36
1999,Prague,Czech Republic,9.64
2000,Prague,Czech Republic,10.30
2001,Prague,Czech Republic,8.98
2002,Prague,Czech Republic,9.73
2003,Prague,Czech Republic,9.51
2004,Prague,Czech Republic,9.17
2005,Prague,Czech Republic,9.12
2006,Prague,Czech Republic,9.67
2007,Prague,Czech Republic,10.25
2008,Prague,Czech Republic,9.91
2009,Prague,Czech Republic,9.47
2010,Prague,Czech Republic,8.13
2011,Prague,Czech Republic,9.84
2012,Prague,Czech Republic,9.51
2013,Prague,Czech Republic,9.57
1828,Victoria,Canada,6.83
1829,Victoria,Canada,6.58
1830,Victoria,Canada,
1831,Victoria,Canada,
1832,Victoria,Canada,3.25
1833,Victoria,Canada,7.27
1834,Victoria,Canada,6.81
1835,Victoria,Canada,5.35
1836,Victoria,Canada,6.52
1837,Victoria,Canada,6.61
1838,Victoria,Canada,6.37
1839,Victoria,Canada,7.12
1840,Victoria,Canada,6.45
1841,Victoria,Canada,6.59
1842,Victoria,Canada,6.64
1843,Victoria,Canada,6.25
1844,Victoria,Canada,6.15
1845,Victoria,Canada,6.62
1846,Victoria,Canada,
1847,Victoria,Canada,8.75
1848,Victoria,Canada,6.34
1849,Victoria,Canada,6.36
1850,Victoria,Canada,6.78
1851,Victoria,Canada,7.56
1852,Victoria,Canada,6.90
1853,Victoria,Canada,7.29
1854,Victoria,Canada,6.73
1855,Victoria,Canada,7.01
1856,Victoria,Canada,7.27
1857,Victoria,Canada,7.62
1858,Victoria,Canada,6.56
1859,Victoria,Canada,6.01
1860,Victoria,Canada,7.39
1861,Victoria,Canada,6.84
1862,Victoria,Canada,6.04
1863,Victoria,Canada,7.07
1864,Victoria,Canada,7.32
1865,Victoria,Canada,6.77
1866,Victoria,Canada,7.05
1867,Victoria,Canada,6.77
1868,Victoria,Canada,6.90
1869,Victoria,Canada,8.09
1870,Victoria,Canada,7.60
1871,Victoria,Canada,7.67
1872,Victoria,Canada,7.22
1873,Victoria,Canada,7.32
1874,Victoria,Canada,7.03
1875,Victoria,Canada,6.36
1876,Victoria,Canada,6.69
1877,Victoria,Canada,7.96
1878,Victoria,Canada,7.93
1879,Victoria,Canada,6.52
1880,Victoria,Canada,5.73
1881,Victoria,Canada,6.62
1882,Victoria,Canada,6.70
1883,Victoria,Canada,6.76
1884,Victoria,Canada,6.59
1885,Victoria,Canada,8.38
1886,Victoria,Canada,7.52
1887,Victoria,Canada,6.32
1888,Victoria,Canada,7.47
1889,Victoria,Canada,7.75
1890,Victoria,Canada,6.69
1891,Victoria,Canada,7.24
1892,Victoria,Canada,7.25
1893,Victoria,Canada,5.94
1894,Victoria,Canada,6.62
1895,Victoria,Canada,7.13
1896,Victoria,Canada,6.88
1897,Victoria,Canada,7.15
1898,Victoria,Canada,7.41
1899,Victoria,Canada,6.91
1900,Victoria,Canada,7.60
1901,Victoria,Canada,7.12
1902,Victoria,Canada,7.05
1903,Victoria,Canada,6.75
1904,Victoria,Canada,7.37
1905,Victoria,Canada,7.39
1906,Victoria,Canada,7.83
1907,Victoria,Canada,6.85
1908,Victoria,Canada,7.19
1909,Victoria,Canada,6.24
1910,Victoria,Canada,7.05
1911,Victoria,Canada,6.31
1912,Victoria,Canada,7.19
1913,Victoria,Canada,6.58
1914,Victoria,Canada,7.56
1915,Victoria,Canada,8.09
1916,Victoria,Canada,5.80
1917,Victoria,Canada,6.68
1918,Victoria,Canada,7.47
1919,Victoria,Canada,6.61
1920,Victoria,Canada,6.99
1921,Victoria,Canada,6.76
1922,Victoria,Canada,6.37
1923,Victoria,Canada,7.55
1924,Victoria,Canada,7.30
1925,Victoria,Canada,8.13
1926,Victoria,Canada,8.42
1927,Victoria,Canada,6.95
1928,Victoria,Canada,7.79
1929,Victoria,Canada,6.71
1930,Victoria,Canada,7.02
1931,Victoria,Canada,7.89
1932,Victoria,Canada,7.27
1933,Victoria,Canada,6.88
1934,Victoria,Canada,8.63
1935,Victoria,Canada,7.20
1936,Victoria,Canada,7.30
1937,Victoria,Canada,6.98
1938,Victoria,Canada,7.77
1939,Victoria,Canada,8.06
1940,Victoria,Canada,8.70
1941,Victoria,Canada,8.69
1942,Victoria,Canada,8.00
1943,Victoria,Canada,7.17
1944,Victoria,Canada,7.85
1945,Victoria,Canada,7.37
1946,Victoria,Canada,7.23
1947,Victoria,Canada,7.65
1948,Victoria,Canada,6.66
1949,Victoria,Canada,6.70
1950,Victoria,Canada,6.44
1951,Victoria,Canada,6.92
1952,Victoria,Canada,7.25
1953,Victoria,Canada,8.01
1954,Victoria,Canada,6.79
1955,Victoria,Canada,5.81
1956,Victoria,Canada,6.90
1957,Victoria,Canada,7.21
1958,Victoria,Canada,9.03
1959,Victoria,Canada,7.23
1960,Victoria,Canada,7.35
1961,Victoria,Canada,7.92
1962,Victoria,Canada,7.49
1963,Victoria,Canada,7.82
1964,Victoria,Canada,6.69
1965,Victoria,Canada,7.51
1966,Victoria,Canada,7.48
1967,Victoria,Canada,8.16
1968,Victoria,Canada,7.44
1969,Victoria,Canada,7.17
1970,Victoria,Canada,7.28
1971,Victoria,Canada,6.77
1972,Victoria,Canada,6.76
1973,Victoria,Canada,7.23
1974,Victoria,Canada,7.62
1975,Victoria,Canada,6.80
1976,Victoria,Canada,7.28
1977,Victoria,Canada,7.38
1978,Victoria,Canada,7.50
1979,Victoria,Canada,7.65
1980,Victoria,Canada,7.47
1981,Victoria,Canada,8.05
1982,Victoria,Canada,7.13
1983,Victoria,Canada,7.88
1984,Victoria,Canada,7.17
1985,Victoria,Canada,6.61
1986,Victoria,Canada,8.03
1987,Victoria,Canada,8.56
1988,Victoria,Canada,7.92
1989,Victoria,Canada,7.67
1990,Victoria,Canada,7.82
1991,Victoria,Canada,7.89
1992,Victoria,Canada,8.77
1993,Victoria,Canada,7.69
1994,Victoria,Canada,8.27
1995,Victoria,Canada,8.49
1996,Victoria,Canada,7.16
1997,Victoria,Canada,8.23
1998,Victoria,Canada,8.72
1999,Victoria,Canada,7.69
2000,Victoria,Canada,7.63
2001,Victoria,Canada,7.77
2002,Victoria,Canada,7.82
2003,Victoria,Canada,8.48
2004,Victoria,Canada,8.95
2005,Victoria,Canada,8.38
2006,Victoria,Canada,8.31
2007,Victoria,Canada,7.72
2008,Victoria,Canada,7.30
2009,Victoria,Canada,7.80
2010,Victoria,Canada,8.33
2011,Victoria,Canada,7.21
2012,Victoria,Canada,7.85
2013,Victoria,Canada,9.85
